"Reference","Qty","Value","MPN","Manufacturer"
"C1,C3","2","C0603_100p","GCG1885G1H101JA01D","Murata"
"C2,C6","2","C0603_2n2","GRM1885C1H222JA01D","Murata"
"C4,C5,C8","3","C0603_220n","GCM188R71E224MA55J","Murata"
"C7,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54","17","C0603_1u0","GRT188R61H105KE13D","MuRata"
"C9,C10,C20,C21,C22,C23,C24,C25,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74","40","C0603_100n","GCG188R91H104KA01D ","Murata"
"C11,C12,C13,C14,C15,C16,C17,C18,C19,C26","10","C1206_22u","C1206C226M4PACTU","Kemet"
"J1","1","DIN-40-Female","M20-7832042","Harwin"
"J2","1","DIN-20","70246-2004","Molex"
"R1,R2,R4,R74,R75,R76,R77,R82,R83,R84,R85,R90,R91,R92,R93,R98,R99,R100,R101","19","R0603_1k0","CRGP0603F1K0","TE Connectivity"
"R3,R5","2","R0603_12k","CRGP0603F12K","TE Connectivity"
"R6,R8,R10,R12,R22,R24,R26,R28,R38,R40,R42,R44,R54,R56,R58,R60","16","R0603_5k6","CRGP0603F5K6","TE Connectivity"
"R7,R9,R11,R13,R15,R17,R19,R21,R23,R25,R27,R29,R31,R33,R35,R37,R39,R41,R43,R45,R47,R49,R51,R53,R55,R57,R59,R61,R63,R65,R67,R69,R70,R71,R72,R73,R78,R79,R80,R81,R86,R87,R88,R89,R94,R95,R96,R97","48","R0603_100k","CRGP0603F100K","TE Connectivity"
"R14,R16,R18,R20,R30,R32,R34,R36,R46,R48,R50,R52,R62,R64,R66,R68","16","R0603_3k6","CRGP0603F3K6","TE Connectivity"
"TP1,TP2,TP3","3","Keystone_5011_Black","5011","Keystone"
"TP4,TP5,TP6,TP7,TP8,TP9","6","Keystone_5014_Yellow","5014","Keystone"
"U1","1","TPA6211A1DRBR","TPA6211A1DRBR","Texas Instruments"
"U2,U3","2","MAX11059","MAX11059ECB+","Analog Devices"
"U4,U5,U6,U7","4","AD8534ARZ-REEL","AD8534ARZ-REEL","Analog Devices"
